;job_title;job_type;location;median_salary
5701;litigation paralegal;Full Time;Toledo, OH 43604;73920.0
5703;legal secretary coordinator;Full Time;Cleveland, OH 44114;73920.0
5707;personal;Full Time;Boca Raton, FL 33432;58560.0
5710;legal receptionist;Full Time;Odessa, TX 79761;71040.0
5711;legal secretary;Full Time;Daytona Beach, FL 32114;23040.0
5712;commercial real estate attorney  parttime contract;Full Time;Denver, CO 80222;74880.0
5713;corporate associate;Full Time;Morristown, NJ 07962;79200.0
5714;temporary legal billing clerk;Full Time;Philadelphia, PA 19103;72000.0
5716;immediate need for bankruptcy associate;Full Time;Washington, DC 20005;134400.0
5717;attorney document review  downtown;Full Time;Minneapolis, MN 55402;72000.0
5718;estate and trust attorney;Full Time;Norristown, PA 19403;72000.0
5719;attorney  defense litigation;Full Time;New York City, NY 10005;76800.0
5720;aml transaction monitoring;Full Time;Jacksonville, FL 32256;58560.0
5721;businesscorporate legal secretary;Full Time;Bloomfield Township, MI 48304;78720.0
5723;corporate attorney;Full Time;Pleasant Prairie, WI 53158;43200.0
5724;litigation paralegal;Full Time;Las Vegas, NV 89128;50000.0
5725;commercial litigation associate;Full Time;Florham Park, NJ 07932;79200.0
5726;associate attorney;Full Time;Woodbury, NY 11797;76800.0
5727;litigation attorney;Full Time;New York City, NY 10016;76800.0
5728;general counsel;Full Time;Palm Beach Gardens, FL 33410;58560.0
5729;associate attorney;Full Time;Toms River, NJ 08753;79200.0
5731;legal assistant;Full Time;Rockleigh, NJ 07647;79200.0
5732;paralegal;Full Time;Roseland, NJ 07068;79200.0
5733;legal assistant;Full Time;Stuart, FL 34996;58560.0
5734;legal secretary;Full Time;Chicago, IL 60602;75840.0
5735;corporate paralegaladmin asst;Full Time;Black Hawk, CO 80403;115200.0
5737;chinesespeaking paralegal;Full Time;Flushing, NY 11355;28800.0
5738;administrativecustomer service;;Westlake Village, CA 91361;30720.0
5740;litigation associate opportunity;Full Time;Los Angeles, CA 90071;125000.0
5741;conflicts attorney;Full Time;Chicago, IL 60601;75840.0
5743;corporate attorney;Full Time;Florham Park, NJ 07932;79200.0
5745;attorney;Full Time;Corpus Christi, TX 78401;71040.0
5746;contract and procurement manager;Full Time;Rockford, IL 61108;75840.0
5747;paralegallegal assistant;Full Time;Alexandria, VA 22314;91200.0
5749;administrative assistant ii;Full Time;Philadelphia, PA 19103;72000.0
5752;project managementgovernment bid specialist;Full Time;Greenfield, IN 46140;83520.0
5753;legal assistant;Full Time;Cleveland, OH 44114;73920.0
5755;legal marketing analyst;Full Time;New York City, NY 10003;124800.0
5758;real estate paralegal  up to;;Montclair, NJ 07042;42000.0
5759;fantastic;Full Time;Washington, DC 20004;134400.0
5760;account coordinator;Full Time;Acworth, GA 30101;28800.0
5763;associate attorney;Full Time;Las Vegas, NV 89148;50000.0
5764;patent paralegal;Full Time;Boston, MA 02210;100800.0
5765;paralegal;Full Time;Atlanta, GA 30309;28800.0
5766;trusts and estates paralegal;Full Time;New York City, NY 10036;76800.0
5768;associate attorney;Full Time;Orangeburg, NY 10962;76800.0
5769;litigation paralegal;Full Time;Cleveland, OH 44113;73920.0
5770;senior corporate paralegalcorporate secretary;Full Time;New York City, NY 10017;115200.0
5772;office clerical;Full Time;Abilene, TX 79604;71040.0
5773;paralegallegal assistant;Full Time;South Bend, IN 46601;83520.0
5774;criminal research associate;Full Time;Holtsville, NY 11742;76800.0
5775;litigation legal secretary;Full Time;Cleveland, OH 44114;73920.0
5777;labor and employment associate;Full Time;Los Angeles, CA 90025;52000.0
5778;paralegal;Full Time;Dulles, VA 20166;115200.0
5780;legal secretary;Full Time;Lake Saint Louis, MO 63367;72000.0
5781;contract manager;Full Time;Houston, TX 77036;71040.0
5783;associate attorney;Full Time;East Hanover, NJ 07936;79200.0
5784;litigation paralegal;Full Time;Washington, DC 20036;134400.0
5785;attorney traffic  dui;Full Time;Las Vegas, NV 89147;50000.0
5786;compliance officer;Full Time;Denver, CO 80219;74880.0
5787;real estate paralegal  years experience;Full Time;White Plains, NY 10603;76800.0
5788;associate attorney;Full Time;Camp Hill, PA 17011;72000.0
5789;securities paralegal;Full Time;New York City, NY 10004;76800.0
5790;temporary contracts paralegal;Full Time;New York City, NY 10175;76800.0
5791;trust and estates attorney  midlevel;Full Time;Parsippany, NJ 07054;79200.0
5792;real estate paralegal;Full Time;Amelia Island, FL 32034;58560.0
5794;junior trust  estates attorney;Full Time;Parsippany, NJ 07054;79200.0
5796;executive support specialist to the cfo  cio;Full Time;Houston, TX 77041;71040.0
5797;director of corporate  commercial law;Full Time;Sussex, WI 53089;43200.0
5798;filing clerk;Full Time;Buffalo, NY 14203;76800.0
5799;legal secretary;Full Time;Fort Lauderdale, FL 33301;58560.0
5801;litigation paralegal part time;Part Time;Pittsburgh, PA 15212;72000.0
5802;truck driver  experienced  full time;nan;Santa Rosa, CA 95409;52000.0
5804;legal assistant  immigration practice group;Full Time;Dallas, TX 75202;57600.0
5806;legal assistant  legal secretary;Full Time;Encino, CA 91436;52000.0
5807;paralegallegal assistant;Full Time;Shalimar, FL 32579;58560.0
5810;client relations legal assistant;;Cleveland, OH 44113;73920.0
5811;growing firm needs legal secretary;Full Time;Mount Pleasant, SC 29464;44640.0
5812;permanent corporatelitigation paralegal;Full Time;Boston, MA 02210;100800.0
5813;temporary paralegal position;Full Time;Armonk, NY 10504;40320.0
5814;legal assistant;Full Time;Miami, FL 33131;97920.0
5815;licensing coordinator;Full Time;Pittsburgh, PA 15122;72000.0
5816;paralegal;Full Time;Trenton, NJ 08625;79200.0
5818;real estate attorney;Full Time;Chicago, IL 60642;75840.0
5819;paralegalsecretary;Full Time;Stewart Manor, NY 11530;76800.0
5820;paralegallegal assistant;Full Time;Royal Oak, MI 48067;96000.0
5821;paralegallegal assistant;Part Time;Orange, VA 22960;115200.0
5822;sr loan processer;Full Time;Tempe, AZ 85284;38400.0
5828;bilingual immigration attorney spanishenglish;Full Time;Falls Church, VA 22042;115200.0
5830;corporate paralegal up to;Full Time;Natick, MA 01760;139200.0
5832;real estate transactions associate;Full Time;Los Angeles, CA 90067;52000.0
5833;patenttrademark secretary;Full Time;Washington, DC 20004;134400.0
5834;paralegallegal assistant;Full Time;Auburn, IN 46706;25920.0
5835;temporary doc review attorney  science background needed;Full Time;New York City, NY 10036;76800.0
5837;staff attorney;Full Time;Federal Way, WA 98003;32640.0
5839;litigation paralegal;Full Time;Tampa, FL 33607;58560.0
5841;corporate associate   county;Full Time;Costa Mesa, CA 92626;52000.0
5843;senior litigation paralegal;Full Time;Weirton, WV 26062;103200.0
5844;associate attorney;Full Time;Columbus, OH 43230;73920.0
5845;paralegal  real estate law;Full Time;Chicago, IL 60606;75840.0
5846;compliance associate;Full Time;New York City, NY 10017;76800.0
5847;legal assistant;Full Time;Lubbock, TX 79401;71040.0
5848;litigation paralegal;Full Time;Las Vegas, NV 89135;50000.0
5849;paralegal;Full Time;White Plains, NY 10601;76800.0
5852;attorney;Full Time;New York City, NY 10038;76800.0
5853;parttime administrative assistantlegal assistant;Part Time;New York City, NY 10036;76800.0
5855;legal secretaryassistant;Full Time;Mount Lebanon, PA 15228;72000.0
5856;associate attorney;Full Time;White Plains, NY 10601;76800.0
5857;legal assistant;Full Time;Plymouth, MI 48170;78720.0
5858;real estate paralegal;Full Time;Great Neck, NY 11021;86400.0
5859;legal secretary;Full Time;Knoxville, TN 37932;35520.0
5860;recording paralegal;Full Time;Atlanta, GA 30301;28800.0
5861;legal assistant;Full Time;Cleveland, OH 44131;73920.0
5862;paralegal;Full Time;Philadelphia, PA 19109;72000.0
5863;librarian;Full Time;Washington, DC 20036;134400.0
5864;regulatory compliance specialist;Full Time;Frisco, TX 75034;71040.0
5866;file clerk;Part Time;Edwardsville, IL 62025;75840.0
5867;attorney  litigation;Full Time;Glendale, CA 91203;52000.0
5870;legal assistantexecutive assistant;Full Time;Albany, NY 12210;76800.0
5871;complex commercial litigation associate;Full Time;Los Angeles, CA 90017;52000.0
5872;stellar opportunity for midlevel ma attorney for hip corporate practice;Full Time;New York, NY 10112;76800.0
5873;paralegallegal assistant;Full Time;Cape Coral, FL 33904;58560.0
5874;associate attorney;Full Time;Scarsdale, NY 10583;76800.0
5876;new case;Full Time;San Diego, CA 92127;32640.0
5878;attorney;Full Time;Jericho, NY 11753;76800.0
5879;legal assistantparalegal;Full Time;Weston, FL 33326;58560.0
5880;paralegallegal assistant;Full Time;Newark, NJ 07102;67200.0
5881;certified court;Full Time;Eureka, CA 95501;52000.0
5882;contracts attorney;Full Time;Newark, NJ 07104;79200.0
5884;litigation paralegal;Full Time;Boston, MA 02110;100800.0
5886;personal;Full Time;New York City, NY 10004;91200.0
5887;associate attorney  matrimonial department;Full Time;Brooklyn, NY 11201;76800.0
5888;bankruptcy paralegal;Full Time;Orlando, FL 32801;58560.0
5889;real estate attorney;Part Time;Naples, FL 34109;58560.0
5890;law firm comptroller with cpa;Full Time;Houston, TX 77002;71040.0
5892;case manager;Full Time;Deer Park, TX 77536;86400.0
5893;attorney  civil litigation;Full Time;Glen Rock, NJ 07452;79200.0
5894;legal assistant  litigation;Full Time;Winston-Salem, NC 27104;30720.0
5896;legal secretary   area;Full Time;Greensburg, PA 15601;72000.0
5897;contract analyst;Full Time;Houston, TX 77057;48000.0
5898;bilingual administrative assistant;Full Time;Raleigh, NC 27606;38400.0
5899;business development manager;Full Time;New York City, NY 10177;7200.0
5900;paralegal;;Huntington, WV 25726;103200.0
5901;corporate associate attorney opening;Full Time;Raleigh, NC 27608;81600.0
5902;senior compliance analyst  temp to hire;;Moorestown, NJ 08057;111360.0
5904;paralegalprofessional services manager;Full Time;Fairfax, VA 22031;105600.0
5906;ups sr legal administrative assistant;nan;Atlanta, GA 30328;28800.0
5907;associate attorney;Full Time;New York City, NY 10038;76800.0
5908;paralegal;Full Time;Destin, FL 32541;58560.0
5909;legal secretary;Full Time;Sewell, NJ 08080;79200.0
5910;contracts manager;Full Time;Windsor, CT 06095;74400.0
5911;contracts manager;Full Time;Norwood, MA 02062;100800.0
5912;legal secretary;Full Time;Royal Oak, MI 48067;78720.0
5913;patent paralegal  practice administrator;Full Time;Gainesville, FL 32605;86400.0
5914;project assistantlitigation;Full Time;New York City, NY 10166;76800.0
5915;paralegal;Full Time;Somerset, NJ 08873;79200.0
5916;legal assistant  litigation;Full Time;Las Vegas, NV 89113;45000.0
5917;junior secretary;;Miami, FL 33130;58560.0
5918;paralegal;Full Time;Crown Point, IN 46307;83520.0
5924;corporate merger and acquisitions associate;Full Time;Los Angeles, CA 90071;52000.0
5926;legal secretary;Full Time;Cynwyd, PA 19004;72000.0
5929;senior bank secrecy act bsa analyst;Full Time;Rockaway, NJ 07866;79200.0
5932;contract legal assistantparalegal;Full Time;Denver, CO 80222;62400.0
5933;legal assistant;Full Time;San Diego, CA 92101;52000.0
5935;paralegallegal assistant;Full Time;Dallas, TX 75230;71040.0
5936;corporate paralegal;Full Time;New York City, NY 10177;153600.0
5937;legal secretary;Full Time;Boston, MA 02110;100800.0
5938;legal secretary;Full Time;Maitland, FL 32751;45000.0
5942;registration lead;Full Time;Dallas, TX 75207;71040.0
5943;new car sales consultant;;Dallas, TX 75224;100800.0
5947;field service engineer  packagingplcrobotics;Full Time;Dallas, TX 75204;139200.0
5948;cisco field solutions engineer;Full Time;Dallas, TX 75254;71040.0
5949;quality assurance administrator;Full Time;Dallas, TX 75202;8640.0
5950;classdriver;Full Time;Dallas, TX 75215;71040.0
5951;senior sec reporting analyst;Full Time;Dallas, TX 75201;153600.0
5952;service technician  dallasfort worth;Full Time;Dallas, TX 75201;71040.0
5953;custodian;Full Time;Dallas, TX 75237;71040.0
5954;site manager;Full Time;Dallas, TX 75201;67200.0
5955;staff accountant;Full Time;Dallas, TX 75201;105600.0
5957;pest control technician;Full Time;Dallas, TX 75355;67200.0
5958;aflac  benefits sales consultant;Full Time;Columbus, OH 43222;73920.0
5961;research compliance director;Full Time;Dallas, TX 75205;71040.0
5962;spanish tutor;Full Time;Dallas, TX 75219;43200.0
5963;texas claims adjuster  nonstandard auto;Full Time;Dallas, TX 75230;71040.0
5966;service technician;Full Time;Dallas, TX 75238;71040.0
5967;senior security analyst;Full Time;Dallas, TX 75230;71040.0
5968;imaging production specialist;Full Time;Cockrell Hill, TX 75211;71040.0
5970;pim technician;Full Time;Irving, TX 00000;71040.0
5971;retail sales associate;nan;Dallas, TX 75220;71040.0
5972;senior real estate analyst;Full Time;Dallas, TX 75201;153600.0
5975;security officer;Full Time;Dallas, TX 75225;21120.0
5977;part time front desk agent  doubletree by hilton dallaslove field;Full Time;Dallas, TX 75235;71040.0
5981;classcdl truck driver  fuel transport;nan;Dallas, TX 75241;71040.0
5982;restaurant general manager  restaurant manager  restaurant assistant manager;nan;Dallas, TX 75241;71040.0
5985;remote lead product architect;Full Time;Dallas, TX 75201;71040.0
5988;quality assurance analyst;Full Time;Dallas, TX 75201;71040.0
5989;sales representative;Full Time;Dallas, TX 75220;153600.0
5990;security officer;Full Time;Dallas, TX 75201;71040.0
5992;senior webmethods consultant;Full Time;Dallas, TX 75201;71040.0
5993;receptionistsecretary;Part Time;Dallas, TX 75201;23040.0
5996;commercial;Full Time;Dallas, TX 75251;71040.0
6000;sharepoint developer  administrator;Full Time;Dallas, TX 75201;71040.0
6002;sales manager;Full Time;Urbancrest, OH 43123;73920.0
6007;bi reports developer ssrs;Full Time;Dallas, TX 75225;71040.0
6009;electrical technician  plcmotorsdrives;Full Time;Dallas, TX 75202;107520.0
6011;receiving;Full Time;Dallas, TX 75247;71040.0
6012;technical specialist;Full Time;Dallas, TX 75205;71040.0
6017;senior fixed asset accountant;Full Time;Dallas, TX 75201;129600.0
6018;portfolio analyst  tx;Full Time;Dallas, TX 75202;71040.0
6019;sr buyer technology enterprise software;Full Time;Dallas, TX 75207;71040.0
6021;senior sap fiar functional consultant;Full Time;Dallas, TX 75201;71040.0
6022;general utility worker  jpmc polaris south;Full Time;Columbus, OH 43085;73920.0
6025;campus safety leader;Full Time;Groveport, OH 43125;73920.0
6026;help desk technician;Full Time;Dallas, TX 75235;38400.0
6027;accounts receivablecollections specialist;Full Time;Dallas, TX 75254;71040.0
6028;strategic business development marketing specialist;Full Time;Columbus, OH 43223;73920.0
6029;associate manager;Full Time;Jersey City, NJ 07302;79200.0
6030;senior superintendent;Full Time;San Antonio, TX 78201;71040.0
6031;i  team project manager;Full Time;Peoria, IL 61602;75840.0
6033;hematology nurse educator      hoa;Full Time;Seattle, WA 98101;32640.0
6034;medical receptionist;Full Time;Seattle, WA 98104;32640.0
6036;manger global sales;Full Time;Seattle, WA 98191;32640.0
6037;retail sales associate;nan;Seattle, WA 98101;32640.0
6041;technical program manager;Full Time;Seattle, WA 98121;32640.0
6045;chemical dependency specialist  case manager;Full Time;Seattle, WA 98121;33600.0
6047;junior recruiter  will train to;Full Time;Seattle, WA 98121;32640.0
6048;territory business manager;nan;Seattle, WA 98104;32640.0
6049;retail associate manager;nan;Seattle, WA 98101;32640.0
6052;turnover janitor;Full Time;Seattle, WA 98104;26880.0
6053;diesel mechanic;Full Time;Scobey, MT 59263;105600.0
6056;executive helpdesk;;Sarasota, FL 34232;58560.0
6057;pickup truck driver;Full Time;Rochester, NY 14623;76800.0
6059;maintenance technician;Part Time;Ashtabula, OH 44004;73920.0
6060;janitorial  maintenance;Part Time;Menomonie, WI 54751;43200.0
6061;lead warehouse associate;Full Time;Quakertown, PA 18951;72000.0
6064;clinical sales specialist;nan;Chattanooga, TN 37402;35520.0
6067;ceramic;Full Time;Oklahoma City, OK 73118;62400.0
6069;critical facility engineer data center;Full Time;Olathe, KS 66061;76800.0
6073;maintenance technician;Full Time;Richland, WA 99352;32640.0
6075;trailer mechanic;Full Time;Lowell, IN 46356;83520.0
6078;cnc mill setup horizontal  vertical;Full Time;Wheeling, IL 60090;41280.0
6081;service technician;Full Time;Denver, CO 80207;33600.0
6082;aircraft mechanic;Full Time;Chicago, IL 60604;75840.0
6083;field service tech;Full Time;San Mateo, CA 94401;52000.0
6089;administrative support;Full Time;Orlando, FL 32819;26880.0
6091;retail cashier;nan;Powell, TN 37849;35520.0
6092;aflac  benefits sales consultant;Full Time;Karns City, PA 16041;72000.0
6094;serversales;Part Time;Knoxville, TN 37923;35520.0
6095;accounting manager;Full Time;Franklin, TN 37067;153600.0
6099;noncdl fulltime route driver;Full Time;Newark, CA 94560;52000.0
6103;accounts payable associate;Full Time;Mason, OH 45040;73920.0
6104;health;Full Time;Cincinnati, OH 45225;73920.0
6105;vice president corporate compliance;Full Time;Manhattan, NY 10172;76800.0
6111;student workerbaristacashier georgia pacific center gamet;Full Time;Atlanta, GA 30303;28800.0
6116;assistant county administrator;Full Time;Atlanta, GA 30303;28800.0
6117;b combat engineer  construction and engineering specialist;Full Time;Napoleonville, LA 70390;91200.0
6118;n horizontal construction engineers;Full Time;Augusta, GA 30904;28800.0
6119;b combat engineer  construction and engineering specialist;Full Time;Ottumwa, IA 52501;37440.0
6120;b combat engineer  construction and engineering specialist;Full Time;Aguadilla, PR 00604;
6121;b combat engineer  construction and engineering specialist;Full Time;La Porte, IN 46350;83520.0
6122;n horizontal construction engineers;Full Time;Barrigada, GU 96913;
6123;accounts receivable;Full Time;San Diego, CA 92111;49920.0
6124;n horizontal construction engineers;Full Time;Greenville, MS 38701;134400.0
6125;l construction vehicle repairer;Full Time;Humacao, PR 00792;
6127;b combat engineer  construction and engineering specialist;Full Time;Orofino, ID 83544;240000.0
6128;b combat engineer  construction and engineering specialist;Full Time;Los Alamitos, CA 90720;52000.0
6129;l construction vehicle repairer;Full Time;Dagsboro, DE 19939;24390.0
6130;transmission construction  vice president;nan;Broomfield, CO 80021;74880.0
6131;l construction vehicle repairer;Full Time;Muskogee, OK 74403;62400.0
6132;l construction vehicle repairer;Full Time;Jackson, KY 41339;75360.0
6133;b combat engineer  construction and engineering specialist;Full Time;Rhinelander, WI 54501;43200.0
6134;n horizontal construction engineers;Full Time;Laramie, WY 82072;96000.0
6136;b combat engineer  construction and engineering specialist;Full Time;Tallahassee, FL 32311;58560.0
6137;l construction vehicle repairer;Full Time;Houlton, ME 04730;42240.0
6138;n horizontal construction engineers;Full Time;Spanish Fork, UT 84660;124800.0
6139;n horizontal construction engineers;Full Time;Montague, MI 49437;78720.0
6141;b combat engineer  construction and engineering specialist;Full Time;Monteagle, TN 37356;35520.0
6144;l construction vehicle repairer;Full Time;Augusta, GA 30904;28800.0
6146;l construction vehicle repairer;Full Time;Anacostia, DC 20373;134400.0
6147;n horizontal construction engineers;Full Time;Grangeville, ID 83530;240000.0
6148;n horizontal construction engineers;Full Time;Wishek, ND 58495;177600.0
6149;n horizontal construction engineers;Full Time;Iron River, MI 49935;78720.0
6150;l construction vehicle repairer;Full Time;Sault Ste Marie, MI 49783;78720.0
6152;n horizontal construction engineers;Full Time;Buffalo, NY 14213;76800.0
6153;b combat engineer  construction and engineering specialist;Full Time;New Roads, LA 70760;91200.0
6154;n horizontal construction engineers;Full Time;Winnsboro, LA 71295;91200.0
6155;b combat engineer  construction and engineering specialist;Full Time;Corpus Christi, TX 78416;71040.0
6156;l construction vehicle repairer;Full Time;So Burlington, VT 05403;
6157;n horizontal construction engineers;Full Time;Parkersburg, WV 26101;103200.0
6159;b combat engineer  construction and engineering specialist;Full Time;Mckenzie, TN 38201;35520.0
6160;l construction vehicle repairer;Full Time;Lancaster, CA 93536;52000.0
6161;n horizontal construction engineers;Full Time;Annville, PA 17003;72000.0
6162;n horizontal construction engineers;Full Time;Mooresville, NC 28115;81600.0
6163;l construction vehicle repairer;Full Time;Shelbyville, IN 46176;83520.0
6164;n horizontal construction engineers;Full Time;Cumberland, MD 21502;128160.0
6165;n horizontal construction engineers;Full Time;Buckhannon, WV 26201;103200.0
6166;n horizontal construction engineers;Full Time;Redding, CA 96001;52000.0
6168;b combat engineer  construction and engineering specialist;Full Time;Kapolei, HI 96707;
6169;l construction vehicle repairer;Full Time;Newport, OR 97365;25440.0
6170;landscape constructions operations director;Full Time;Denver, CO 80111;172800.0
6171;b combat engineer  construction and engineering specialist;Full Time;Vega Baja, PR 00693;
6172;n horizontal construction engineers;Full Time;Union City, TN 38261;35520.0
6173;l construction vehicle repairer;Full Time;Mccormick, SC 29835;44640.0
6174;l construction vehicle repairer;Full Time;Billings, MT 59102;105600.0
6175;l construction vehicle repairer;Full Time;Johnston, IA 50131;37440.0
6176;n horizontal construction engineers;Full Time;Millwood, WV 25262;103200.0
6177;construction manager;Full Time;El Monte, CA 91731;172800.0
6178;l construction vehicle repairer;Full Time;Bafb, Aurora, CO 80011;74880.0
6179;l construction vehicle repairer;Full Time;New Boston, TX 75570;71040.0
6180;l construction vehicle repairer;Full Time;Eureka, CA 95503;52000.0
6181;n horizontal construction engineers;Full Time;Montrose, CO 81401;74880.0
6182;vp of operations  construction;Full Time;Jupiter, FL 33458;58560.0
6183;chemist;Full Time;Huntington Beach, CA 92649;52000.0
6184;b combat engineer  construction and engineering specialist;Full Time;Dunlap, TN 37327;35520.0
6185;n horizontal construction engineers;Full Time;Philadelphia, PA 19153;72000.0
6187;b combat engineer  construction and engineering specialist;Full Time;Parkersburg, WV 26101;103200.0
6188;b combat engineer  construction and engineering specialist;Full Time;Huntingdon, TN 38344;35520.0
6189;n horizontal construction engineers;Full Time;Russellville, TN 37860;35520.0
6190;b combat engineer  construction and engineering specialist;Full Time;Punxsutawney, PA 15767;72000.0
6191;l construction vehicle repairer;Full Time;Grand Forks, ND 58201;177600.0
6193;l construction vehicle repairer;Full Time;Dothan, AL 36302;134400.0
6195;commercial construction project manager;Full Time;Chicago, IL 60290;75840.0
6196;n horizontal construction engineers;Full Time;Macomb, IL 61455;75840.0
6197;n horizontal construction engineers;Full Time;Fort Buchanan, PR 00934;
6199;n horizontal construction engineers;Full Time;Live Oak, FL 32064;58560.0
6200;n horizontal construction engineers;Full Time;Roseboro, NC 28382;81600.0
6201;n horizontal construction engineers;Full Time;York, NE 68467;33600.0
6204;b combat engineer  construction and engineering specialist;Full Time;Russellville, TN 37860;35520.0
6205;n horizontal construction engineers;Full Time;Galesburg, IL 61401;75840.0
6208;l construction vehicle repairer;Full Time;Oak Grove, LA 71263;91200.0
6211;l construction vehicle repairer;Full Time;Fayette, AL 35555;134400.0
6213;l construction vehicle repairer;Full Time;Longmont, CO 80504;74880.0
6214;l construction vehicle repairer;Full Time;Red House, WV 25168;103200.0
6215;l construction vehicle repairer;Full Time;Juana Diaz, PR 00795;
6216;l construction vehicle repairer;Full Time;Newton, NC 28658;81600.0
6217;l construction vehicle repairer;Full Time;Parkersburg, WV 26101;103200.0
6218;l construction vehicle repairer;Full Time;Grayling, MI 49739;78720.0
6220;n horizontal construction engineers;Full Time;Calhoun City, MS 38916;134400.0
6221;b combat engineer  construction and engineering specialist;Full Time;Moscow, ID 83843;240000.0
6222;b combat engineer  construction and engineering specialist;Full Time;Fort Mill, SC 29715;44640.0
6223;l construction vehicle repairer;Full Time;Bangor, ME 04401;42240.0
6224;l construction vehicle repairer;Full Time;Macomb, IL 61455;75840.0
6226;n horizontal construction engineers;Full Time;Cambridge, MN 55008;72000.0
6228;n horizontal construction engineers;Full Time;Braggs, OK 74423;62400.0
6230;n horizontal construction engineers;Full Time;Coffeyville, KS 67337;76800.0
6232;n horizontal construction engineers;Full Time;Boise, ID 83705;240000.0
6236;l construction vehicle repairer;Full Time;Fort Chaffee, AR 72905;43200.0
6237;b combat engineer  construction and engineering specialist;Full Time;Jonesboro, AR 72401;43200.0
6242;l construction vehicle repairer;Full Time;Martinsburg, WV 25405;103200.0
6243;l construction vehicle repairer;Full Time;Kingshill, Vi, MA 00850;100800.0
6244;l construction vehicle repairer;Full Time;Springfield, IL 62702;75840.0
6248;n horizontal construction engineers;Full Time;Brownwood, TX 76801;71040.0
6249;laboratory technician lead pb;Full Time;Riverton, NJ 08077;79200.0
6250;l construction vehicle repairer;Full Time;Hohenwald, TN 38462;35520.0
6253;n horizontal construction engineers;Full Time;Platteville, WI 53818;43200.0
6254;n horizontal construction engineers;Full Time;Kingsford, MI 49802;78720.0
6255;n horizontal construction engineers;Full Time;Napoleonville, LA 70390;91200.0
6259;n horizontal construction engineers;Full Time;Farmerville, LA 71241;91200.0
6260;b combat engineer  construction and engineering specialist;Full Time;Hilo, HI 96720;
6261;b combat engineer  construction and engineering specialist;Full Time;Columbus, OH 43213;73920.0
6264;n horizontal construction engineers;Full Time;Norwalk, OH 44857;73920.0
6266;b combat engineer  construction and engineering specialist;Full Time;Douglas, GA 31533;28800.0
6267;b combat engineer  construction and engineering specialist;Full Time;Moundsville, WV 26041;103200.0
6269;l construction vehicle repairer;Full Time;Frankfort, KY 40601;75360.0
6270;n horizontal construction engineers;Full Time;Chico, CA 95926;52000.0
6271;n horizontal construction engineers;Full Time;Sidney, MT 59270;105600.0
6273;chemist;Full Time;Charlotte, NC 28273;81600.0
6274;l construction vehicle repairer;Full Time;Chester, SC 29706;44640.0
6275;l construction vehicle repairer;Full Time;Smyrna, TN 37167;35520.0
6276;n horizontal construction engineers;Full Time;Chillicothe, OH 45601;73920.0
6278;n horizontal construction engineers;Full Time;Newport, OR 97365;25440.0
6279;l construction vehicle repairer;Full Time;Sea Girt, NJ 08750;79200.0
6280;l construction vehicle repairer;Full Time;Salinas, PR 00079;
6281;b combat engineer  construction and engineering specialist;Full Time;Wellford, SC 29385;44640.0
6282;n horizontal construction engineers;Full Time;Ruston, LA 71270;91200.0
6283;b combat engineer  construction and engineering specialist;Full Time;Bradford, Vt, VT 05033;
6284;b combat engineer  construction and engineering specialist;Full Time;Tomahawk, WI 54487;43200.0
6285;l construction vehicle repairer;Full Time;Pittsburg, KS 66762;76800.0
6286;l construction vehicle repairer;Full Time;Norman, OK 73069;62400.0
6287;n horizontal construction engineers;Full Time;Rockingham, NC 28379;81600.0
6289;tower construction foreman;Full Time;Raleigh, NC 27603;81600.0
6290;l construction vehicle repairer;Full Time;Clarks, LA 71415;91200.0
6292;up togolden opportunity forconstruction payroll specialist;Full Time;Escondido, CA 92029;52000.0
6293;n horizontal construction engineers;Full Time;Newton Falls, OH 44444;73920.0
6294;n horizontal construction engineers;Full Time;Red Bluff, CA 96080;52000.0
6295;l construction vehicle repairer;Full Time;West Monroe, LA 71292;91200.0
6297;l construction vehicle repairer;Full Time;Kingsford, MI 49802;78720.0
6298;b combat engineer  construction and engineering specialist;Full Time;Grangeville, ID 83530;240000.0
6301;n horizontal construction engineers;Full Time;Madisonville, KY 42431;75360.0
6302;n horizontal construction engineers;Full Time;Hazard, KY 41701;75360.0
6303;n horizontal construction engineers;Full Time;Batesburg, SC 29006;44640.0
6304;n horizontal construction engineers;Full Time;Glennville, GA 30427;28800.0
6305;l construction vehicle repairer;Full Time;Brownwood, TX 76801;71040.0
6307;n horizontal construction engineers;Full Time;Mt Pleasant, UT 84647;124800.0
6308;engineer engineer ii  construction project administrator;Full Time;Decatur, IN 46733;83520.0
6309;l construction vehicle repairer;Full Time;San Diego, CA 92111;52000.0
6310;n horizontal construction engineers;Full Time;Rugby, ND 58368;177600.0
6311;l construction vehicle repairer;Full Time;Johnstown, PA 15904;72000.0
6312;n horizontal construction engineers;Full Time;Durango, CO 81303;74880.0
6313;construction supervisor  commercialfieldtrades;Full Time;Elk Grove Village, IL 60007;72000.0
6314;l construction vehicle repairer;Full Time;Coffeyville, KS 67337;76800.0
6315;n horizontal construction engineers;Full Time;Pineville, LA 71360;91200.0
6316;b combat engineer  construction and engineering specialist;Full Time;Lockport, NY 14094;76800.0
6318;n horizontal construction engineers;Full Time;Rock Springs, WY 82901;96000.0
6320;l construction vehicle repairer;Full Time;Richmond, KY 40475;75360.0
